probability = 1, nextState = 5, reward = -1, done = false
probability = 1, nextState = 6, reward = -1, done = false
probability = 1, nextState = 7, reward = -1, done = false
probability = 1, nextState = 8, reward = -1, done = false
probability = 1, nextState = 9, reward = -1, done = false
probability = 1, nextState = 10, reward = -1, done = false
probability = 1, nextState = 11, reward = -1, done = false
probability = 1, nextState = 12, reward = -1, done = false
probability = 1, nextState = 13, reward = -1, done = false
probability = 1, nextState = 14, reward = -1, done = false
probability = 1, nextState = 15, reward = -1, done = false
probability = 1, nextState = 16, reward = -1, done = false
probability = 1, nextState = 17, reward = -1, done = false
probability = 1, nextState = 18, reward = -1, done = false
probability = 1, nextState = 19, reward = -1, done = false
probability = 1, nextState = 20, reward = -1, done = false
probability = 1, nextState = 21, reward = -1, done = false
probability = 1, nextState = 22, reward = -1, done = false
probability = 1, nextState = 23, reward = -1, done = false
probability = 1, nextState = 24, reward = -1, done = false
probability = 1, nextState = 20, reward = -2, done = false
probability = 1, nextState = 21, reward = -2, done = false
probability = 1, nextState = 22, reward = -2, done = false
probability = 1, nextState = 23, reward = -2, done = false
probability = 1, nextState = 24, reward = -2, done = false
probability = 1, nextState = 30, reward = -1, done = false
probability = 1, nextState = 31, reward = -1, done = false
probability = 1, nextState = 32, reward = -1, done = false
probability = 1, nextState = 33, reward = -1, done = false
probability = 1, nextState = 34, reward = -1, done = false
probability = 1, nextState = 35, reward = -1, done = false
probability = 1, nextState = 36, reward = -1, done = false
probability = 1, nextState = 37, reward = -1, done = false
probability = 1, nextState = 38, reward = -1, done = false
probability = 1, nextState = 39, reward = -1, done = false
probability = 1, nextState = 40, reward = -1, done = false
probability = 1, nextState = 41, reward = -1, done = false
probability = 1, nextState = 42, reward = -1, done = false
probability = 1, nextState = 43, reward = -1, done = false
probability = 1, nextState = 44, reward = -1, done = false
probability = 1, nextState = 45, reward = -1, done = false
probability = 1, nextState = 46, reward = -1, done = false
probability = 1, nextState = 47, reward = -1, done = false
probability = 1, nextState = 48, reward = -1, done = false
probability = 1, nextState = 49, reward = -1, done = false
probability = 1, nextState = 45, reward = -2, done = false
probability = 1, nextState = 46, reward = -2, done = false
probability = 1, nextState = 47, reward = -2, done = false
probability = 1, nextState = 48, reward = -2, done = false
probability = 1, nextState = 49, reward = -2, done = false
probability = 1, nextState = 55, reward = -1, done = false
probability = 1, nextState = 56, reward = -1, done = false
probability = 1, nextState = 57, reward = -1, done = false
probability = 1, nextState = 58, reward = -1, done = false
probability = 1, nextState = 59, reward = -1, done = false
probability = 1, nextState = 60, reward = -1, done = false
probability = 1, nextState = 61, reward = -1, done = false
probability = 1, nextState = 62, reward = -1, done = false
probability = 1, nextState = 63, reward = -1, done = false
probability = 1, nextState = 64, reward = -1, done = false
probability = 1, nextState = 65, reward = -1, done = false
probability = 1, nextState = 66, reward = -1, done = false
probability = 1, nextState = 67, reward = -1, done = false
probability = 1, nextState = 68, reward = -1, done = false
probability = 1, nextState = 69, reward = -1, done = false
probability = 1, nextState = 70, reward = -1, done = false
probability = 1, nextState = 71, reward = -1, done = false
probability = 1, nextState = 72, reward = -1, done = false
probability = 1, nextState = 73, reward = -1, done = false
probability = 1, nextState = 74, reward = -1, done = false
probability = 1, nextState = 70, reward = -2, done = false
probability = 1, nextState = 71, reward = -2, done = false
probability = 1, nextState = 72, reward = -2, done = false
probability = 1, nextState = 73, reward = -2, done = false
probability = 1, nextState = 74, reward = -2, done = false
probability = 1, nextState = 80, reward = -1, done = false
probability = 1, nextState = 81, reward = -1, done = false
probability = 1, nextState = 82, reward = -1, done = false
probability = 1, nextState = 83, reward = -1, done = false
probability = 1, nextState = 84, reward = -1, done = false
probability = 1, nextState = 85, reward = -1, done = false
probability = 1, nextState = 86, reward = -1, done = false
probability = 1, nextState = 87, reward = -1, done = false
probability = 1, nextState = 88, reward = -1, done = false
probability = 1, nextState = 89, reward = -1, done = false
probability = 1, nextState = 90, reward = -1, done = false
probability = 1, nextState = 91, reward = -1, done = false
probability = 1, nextState = 92, reward = -1, done = false
probability = 1, nextState = 93, reward = -1, done = false
probability = 1, nextState = 94, reward = -1, done = false
probability = 1, nextState = 95, reward = -1, done = false
probability = 1, nextState = 96, reward = -1, done = false
probability = 1, nextState = 97, reward = -1, done = false
probability = 1, nextState = 98, reward = -1, done = false
probability = 1, nextState = 99, reward = -1, done = false
probability = 1, nextState = 95, reward = -2, done = false
probability = 1, nextState = 96, reward = -2, done = false
probability = 1, nextState = 97, reward = -2, done = false
probability = 1, nextState = 98, reward = -2, done = false
probability = 1, nextState = 99, reward = -2, done = false
probability = 1, nextState = 105, reward = -1, done = false
probability = 1, nextState = 106, reward = -1, done = false
probability = 1, nextState = 107, reward = -1, done = false
probability = 1, nextState = 108, reward = -1, done = false
probability = 1, nextState = 109, reward = -1, done = false
probability = 1, nextState = 110, reward = -1, done = false
probability = 1, nextState = 111, reward = -1, done = false
probability = 1, nextState = 112, reward = -1, done = false
probability = 1, nextState = 113, reward = -1, done = false
probability = 1, nextState = 114, reward = -1, done = false
probability = 1, nextState = 115, reward = -1, done = false
probability = 1, nextState = 116, reward = -1, done = false
probability = 1, nextState = 117, reward = -1, done = false
probability = 1, nextState = 118, reward = -1, done = false
probability = 1, nextState = 119, reward = -1, done = false
probability = 1, nextState = 120, reward = -1, done = false
probability = 1, nextState = 121, reward = -1, done = false
probability = 1, nextState = 122, reward = -1, done = false
probability = 1, nextState = 123, reward = -1, done = false
probability = 1, nextState = 124, reward = -1, done = false
probability = 1, nextState = 120, reward = -2, done = false
probability = 1, nextState = 121, reward = -2, done = false
probability = 1, nextState = 122, reward = -2, done = false
probability = 1, nextState = 123, reward = -2, done = false
probability = 1, nextState = 124, reward = -2, done = false
probability = 1, nextState = 130, reward = -1, done = false
probability = 1, nextState = 131, reward = -1, done = false
probability = 1, nextState = 132, reward = -1, done = false
probability = 1, nextState = 133, reward = -1, done = false
probability = 1, nextState = 134, reward = -1, done = false
probability = 1, nextState = 135, reward = -1, done = false
probability = 1, nextState = 136, reward = -1, done = false
probability = 1, nextState = 137, reward = -1, done = false
probability = 1, nextState = 138, reward = -1, done = false
probability = 1, nextState = 139, reward = -1, done = false
probability = 1, nextState = 140, reward = -1, done = false
probability = 1, nextState = 141, reward = -1, done = false
probability = 1, nextState = 142, reward = -1, done = false
probability = 1, nextState = 143, reward = -1, done = false
probability = 1, nextState = 144, reward = -1, done = false
probability = 1, nextState = 145, reward = -1, done = false
probability = 1, nextState = 146, reward = -1, done = false
probability = 1, nextState = 147, reward = -1, done = false
probability = 1, nextState = 148, reward = -1, done = false
probability = 1, nextState = 149, reward = -1, done = false
probability = 1, nextState = 145, reward = -2, done = false
probability = 1, nextState = 146, reward = -2, done = false
probability = 1, nextState = 147, reward = -2, done = false
probability = 1, nextState = 148, reward = -2, done = false
probability = 1, nextState = 149, reward = -2, done = false
probability = 1, nextState = 155, reward = -1, done = false
probability = 1, nextState = 156, reward = -1, done = false
probability = 1, nextState = 157, reward = -1, done = false
probability = 1, nextState = 158, reward = -1, done = false
probability = 1, nextState = 159, reward = -1, done = false
probability = 1, nextState = 160, reward = -1, done = false
probability = 1, nextState = 161, reward = -1, done = false
probability = 1, nextState = 162, reward = -1, done = false
probability = 1, nextState = 163, reward = -1, done = false
probability = 1, nextState = 164, reward = -1, done = false
probability = 1, nextState = 165, reward = -1, done = false
probability = 1, nextState = 166, reward = -1, done = false
probability = 1, nextState = 167, reward = -1, done = false
probability = 1, nextState = 168, reward = -1, done = false
probability = 1, nextState = 169, reward = -1, done = false
probability = 1, nextState = 170, reward = -1, done = false
probability = 1, nextState = 171, reward = -1, done = false
probability = 1, nextState = 172, reward = -1, done = false
probability = 1, nextState = 173, reward = -1, done = false
probability = 1, nextState = 174, reward = -1, done = false
probability = 1, nextState = 170, reward = -2, done = false
probability = 1, nextState = 171, reward = -2, done = false
probability = 1, nextState = 172, reward = -2, done = false
probability = 1, nextState = 173, reward = -2, done = false
probability = 1, nextState = 174, reward = -2, done = false
probability = 1, nextState = 180, reward = -1, done = false
probability = 1, nextState = 181, reward = -1, done = false
probability = 1, nextState = 182, reward = -1, done = false
probability = 1, nextState = 183, reward = -1, done = false
probability = 1, nextState = 184, reward = -1, done = false
probability = 1, nextState = 185, reward = -1, done = false
probability = 1, nextState = 186, reward = -1, done = false
probability = 1, nextState = 187, reward = -1, done = false
probability = 1, nextState = 188, reward = -1, done = false
probability = 1, nextState = 189, reward = -1, done = false
probability = 1, nextState = 190, reward = -1, done = false
probability = 1, nextState = 191, reward = -1, done = false
probability = 1, nextState = 192, reward = -1, done = false
probability = 1, nextState = 193, reward = -1, done = false
probability = 1, nextState = 194, reward = -1, done = false
probability = 1, nextState = 195, reward = -1, done = false
probability = 1, nextState = 196, reward = -1, done = false
probability = 1, nextState = 197, reward = -1, done = false
probability = 1, nextState = 198, reward = -1, done = false
probability = 1, nextState = 199, reward = -1, done = false
probability = 1, nextState = 195, reward = -2, done = false
