(state,action)   init_cab_pos    next_cab_pos    psg_spawn_idx0    psg_spawn_idx1    psg_dest_idx0    psg_dest_idx1    reward
(0,south)	 (0,0) ---> (0,1)	 0 ---> 0	0 ---> 0 	 -1
(0,north)	 (0,0) ---> (0,0)	 0 ---> 0	0 ---> 0 	 -2
(0,east)	 (0,0) ---> (1,0)	 0 ---> 0	0 ---> 0 	 -1
(0,west)	 (0,0) ---> (0,0)	 0 ---> 0	0 ---> 0 	 -2
(0,pickup)	 (0,0) ---> (0,0)	 0 ---> 4	0 ---> 0 	 10
(0,dropoff)	 (0,0) ---> (0,0)	 0 ---> 0	0 ---> 0 	 -5
(1,south)	 (1,0) ---> (1,1)	 0 ---> 0	0 ---> 0 	 -1
(1,north)	 (1,0) ---> (1,0)	 0 ---> 0	0 ---> 0 	 -2
(1,east)	 (1,0) ---> (2,0)	 0 ---> 0	0 ---> 0 	 -1
(1,west)	 (1,0) ---> (0,0)	 0 ---> 0	0 ---> 0 	 -1
(1,pickup)	 (1,0) ---> (1,0)	 0 ---> 0	0 ---> 0 	 -5
(1,dropoff)	 (1,0) ---> (1,0)	 0 ---> 0	0 ---> 0 	 -5
(2,south)	 (2,0) ---> (2,0)	 0 ---> 0	0 ---> 0 	 -2
(2,north)	 (2,0) ---> (2,0)	 0 ---> 0	0 ---> 0 	 -2
(2,east)	 (2,0) ---> (3,0)	 0 ---> 0	0 ---> 0 	 -1
(2,west)	 (2,0) ---> (1,0)	 0 ---> 0	0 ---> 0 	 -1
(2,pickup)	 (2,0) ---> (2,0)	 0 ---> 0	0 ---> 0 	 -5
(2,dropoff)	 (2,0) ---> (2,0)	 0 ---> 0	0 ---> 0 	 -5
(3,south)	 (3,0) ---> (3,0)	 0 ---> 0	0 ---> 0 	 -2
(3,north)	 (3,0) ---> (3,0)	 0 ---> 0	0 ---> 0 	 -2
(3,east)	 (3,0) ---> (4,0)	 0 ---> 0	0 ---> 0 	 -1
(3,west)	 (3,0) ---> (2,0)	 0 ---> 0	0 ---> 0 	 -1
(3,pickup)	 (3,0) ---> (3,0)	 0 ---> 0	0 ---> 0 	 -5
(3,dropoff)	 (3,0) ---> (3,0)	 0 ---> 0	0 ---> 0 	 -5
(4,south)	 (4,0) ---> (4,1)	 0 ---> 0	0 ---> 0 	 -1
(4,north)	 (4,0) ---> (4,0)	 0 ---> 0	0 ---> 0 	 -2
(4,east)	 (4,0) ---> (4,0)	 0 ---> 0	0 ---> 0 	 -2
(4,west)	 (4,0) ---> (3,0)	 0 ---> 0	0 ---> 0 	 -1
(4,pickup)	 (4,0) ---> (4,0)	 0 ---> 0	0 ---> 0 	 -5
(4,dropoff)	 (4,0) ---> (4,0)	 0 ---> 0	0 ---> 0 	 -5
(5,south)	 (0,1) ---> (0,2)	 0 ---> 0	0 ---> 0 	 -1
(5,north)	 (0,1) ---> (0,0)	 0 ---> 0	0 ---> 0 	 -1
(5,east)	 (0,1) ---> (0,1)	 0 ---> 0	0 ---> 0 	 -2
(5,west)	 (0,1) ---> (0,1)	 0 ---> 0	0 ---> 0 	 -2
(5,pickup)	 (0,1) ---> (0,1)	 0 ---> 0	0 ---> 0 	 -5
(5,dropoff)	 (0,1) ---> (0,1)	 0 ---> 0	0 ---> 0 	 -5
(6,south)	 (1,1) ---> (1,2)	 0 ---> 0	0 ---> 0 	 -1
(6,north)	 (1,1) ---> (1,0)	 0 ---> 0	0 ---> 0 	 -1
(6,east)	 (1,1) ---> (1,1)	 0 ---> 0	0 ---> 0 	 -2
(6,west)	 (1,1) ---> (1,1)	 0 ---> 0	0 ---> 0 	 -2
(6,pickup)	 (1,1) ---> (1,1)	 0 ---> 0	0 ---> 0 	 -5
(6,dropoff)	 (1,1) ---> (1,1)	 0 ---> 0	0 ---> 0 	 -5
(7,south)	 (2,1) ---> (2,2)	 0 ---> 0	0 ---> 0 	 -1
(7,north)	 (2,1) ---> (2,1)	 0 ---> 0	0 ---> 0 	 -2
(7,east)	 (2,1) ---> (3,1)	 0 ---> 0	0 ---> 0 	 -1
(7,west)	 (2,1) ---> (2,1)	 0 ---> 0	0 ---> 0 	 -2
(7,pickup)	 (2,1) ---> (2,1)	 0 ---> 0	0 ---> 0 	 -5
(7,dropoff)	 (2,1) ---> (2,1)	 0 ---> 0	0 ---> 0 	 -5
(8,south)	 (3,1) ---> (3,2)	 0 ---> 0	0 ---> 0 	 -1
(8,north)	 (3,1) ---> (3,1)	 0 ---> 0	0 ---> 0 	 -2
(8,east)	 (3,1) ---> (3,1)	 0 ---> 0	0 ---> 0 	 -2
(8,west)	 (3,1) ---> (2,1)	 0 ---> 0	0 ---> 0 	 -1
(8,pickup)	 (3,1) ---> (3,1)	 0 ---> 0	0 ---> 0 	 -5
(8,dropoff)	 (3,1) ---> (3,1)	 0 ---> 0	0 ---> 0 	 -5
(9,south)	 (4,1) ---> (4,2)	 0 ---> 0	0 ---> 0 	 -1
(9,north)	 (4,1) ---> (4,0)	 0 ---> 0	0 ---> 0 	 -1
(9,east)	 (4,1) ---> (4,1)	 0 ---> 0	0 ---> 0 	 -2
(9,west)	 (4,1) ---> (4,1)	 0 ---> 0	0 ---> 0 	 -2
(9,pickup)	 (4,1) ---> (4,1)	 0 ---> 0	0 ---> 0 	 -5
(9,dropoff)	 (4,1) ---> (4,1)	 0 ---> 0	0 ---> 0 	 -5
(10,south)	 (0,2) ---> (0,3)	 0 ---> 0	0 ---> 0 	 -1
(10,north)	 (0,2) ---> (0,1)	 0 ---> 0	0 ---> 0 	 -1
(10,east)	 (0,2) ---> (0,2)	 0 ---> 0	0 ---> 0 	 -2
(10,west)	 (0,2) ---> (0,2)	 0 ---> 0	0 ---> 0 	 -2
(10,pickup)	 (0,2) ---> (0,2)	 0 ---> 0	0 ---> 0 	 -5
(10,dropoff)	 (0,2) ---> (0,2)	 0 ---> 0	0 ---> 0 	 -5
(11,south)	 (1,2) ---> (1,2)	 0 ---> 0	0 ---> 0 	 -2
(11,north)	 (1,2) ---> (1,1)	 0 ---> 0	0 ---> 0 	 -1
(11,east)	 (1,2) ---> (1,2)	 0 ---> 0	0 ---> 0 	 -2
(11,west)	 (1,2) ---> (1,2)	 0 ---> 0	0 ---> 0 	 -2
(11,pickup)	 (1,2) ---> (1,2)	 0 ---> 0	0 ---> 0 	 -5
(11,dropoff)	 (1,2) ---> (1,2)	 0 ---> 0	0 ---> 0 	 -5
(12,south)	 (2,2) ---> (2,3)	 0 ---> 0	0 ---> 0 	 -1
(12,north)	 (2,2) ---> (2,1)	 0 ---> 0	0 ---> 0 	 -1
(12,east)	 (2,2) ---> (2,2)	 0 ---> 0	0 ---> 0 	 -2
(12,west)	 (2,2) ---> (2,2)	 0 ---> 0	0 ---> 0 	 -2
(12,pickup)	 (2,2) ---> (2,2)	 0 ---> 0	0 ---> 0 	 -5
(12,dropoff)	 (2,2) ---> (2,2)	 0 ---> 0	0 ---> 0 	 -5
(13,south)	 (3,2) ---> (3,3)	 0 ---> 0	0 ---> 0 	 -1
(13,north)	 (3,2) ---> (3,1)	 0 ---> 0	0 ---> 0 	 -1
(13,east)	 (3,2) ---> (3,2)	 0 ---> 0	0 ---> 0 	 -2
(13,west)	 (3,2) ---> (3,2)	 0 ---> 0	0 ---> 0 	 -2
(13,pickup)	 (3,2) ---> (3,2)	 0 ---> 0	0 ---> 0 	 -5
(13,dropoff)	 (3,2) ---> (3,2)	 0 ---> 0	0 ---> 0 	 -5
(14,south)	 (4,2) ---> (4,3)	 0 ---> 0	0 ---> 0 	 -1
(14,north)	 (4,2) ---> (4,1)	 0 ---> 0	0 ---> 0 	 -1
(14,east)	 (4,2) ---> (4,2)	 0 ---> 0	0 ---> 0 	 -2
(14,west)	 (4,2) ---> (4,2)	 0 ---> 0	0 ---> 0 	 -2
(14,pickup)	 (4,2) ---> (4,2)	 0 ---> 0	0 ---> 0 	 -5
(14,dropoff)	 (4,2) ---> (4,2)	 0 ---> 0	0 ---> 0 	 -5
(15,south)	 (0,3) ---> (0,3)	 0 ---> 0	0 ---> 0 	 -2
(15,north)	 (0,3) ---> (0,2)	 0 ---> 0	0 ---> 0 	 -1
(15,east)	 (0,3) ---> (1,3)	 0 ---> 0	0 ---> 0 	 -1
(15,west)	 (0,3) ---> (0,3)	 0 ---> 0	0 ---> 0 	 -2
(15,pickup)	 (0,3) ---> (0,3)	 0 ---> 0	0 ---> 0 	 -5
(15,dropoff)	 (0,3) ---> (0,3)	 0 ---> 0	0 ---> 0 	 -5
(16,south)	 (1,3) ---> (1,4)	 0 ---> 0	0 ---> 0 	 -1
(16,north)	 (1,3) ---> (1,3)	 0 ---> 0	0 ---> 0 	 -2
(16,east)	 (1,3) ---> (2,3)	 0 ---> 0	0 ---> 0 	 -1
(16,west)	 (1,3) ---> (0,3)	 0 ---> 0	0 ---> 0 	 -1
(16,pickup)	 (1,3) ---> (1,3)	 0 ---> 0	0 ---> 0 	 -5
(16,dropoff)	 (1,3) ---> (1,3)	 0 ---> 0	0 ---> 0 	 -5
(17,south)	 (2,3) ---> (2,3)	 0 ---> 0	0 ---> 0 	 -2
(17,north)	 (2,3) ---> (2,2)	 0 ---> 0	0 ---> 0 	 -1
(17,east)	 (2,3) ---> (2,3)	 0 ---> 0	0 ---> 0 	 -2
(17,west)	 (2,3) ---> (1,3)	 0 ---> 0	0 ---> 0 	 -1
(17,pickup)	 (2,3) ---> (2,3)	 0 ---> 0	0 ---> 0 	 -5
(17,dropoff)	 (2,3) ---> (2,3)	 0 ---> 0	0 ---> 0 	 -5
(18,south)	 (3,3) ---> (3,4)	 0 ---> 0	0 ---> 0 	 -1
(18,north)	 (3,3) ---> (3,2)	 0 ---> 0	0 ---> 0 	 -1
(18,east)	 (3,3) ---> (3,3)	 0 ---> 0	0 ---> 0 	 -2
(18,west)	 (3,3) ---> (3,3)	 0 ---> 0	0 ---> 0 	 -2
(18,pickup)	 (3,3) ---> (3,3)	 0 ---> 0	0 ---> 0 	 -5
